Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity
Calcium carbide,EFSA,2011,1300,Ecotox (water compartment),acute toxicity,Rainbow trout,Not reported,4,EC50,>,50,mg/L,mortality,
Calcium carbide,EFSA,2011,1300,Ecotox (water compartment),acute toxicity,Scenedesmus subspicatus,Not reported,3,EC50,=,12.4,mg/L,biomass,
Calcium carbide,EFSA,2011,1300,Ecotox (water compartment),acute toxicity,Scenedesmus subspicatus,Not reported,3,EC50,=,46.5,mg/L,growth,
Calcium carbonate,EFSA,2011,1294,Ecotox (water compartment),acute toxicity,Daphnia magna,Not reported,2,EC50,>,42,mg/L,mortality,
Calcium carbonate,EFSA,2011,1294,Ecotox (water compartment),acute toxicity,Scenedesmus subspicatus,Not reported,3,EC50,>,42,mg/L,biomass,
Calcium carbonate,EFSA,2011,1294,Ecotox (water compartment),acute toxicity,Zebra fish,Not reported,4,EC50,>,42,mg/L,mortality,
Calcium carbonate,EFSA,2021,3958,Ecotox (soil compartment),acute toxicity,Honey bee,dermal,,LD50,=,343,µg/piece,mortality,
Calcium carbonate,EFSA,2021,3958,Ecotox (soil compartment),acute toxicity,Honey bee,oral: unspecified,,LD50,=,337,µg/piece,mortality,
Calcium carbonate,EFSA,2021,3958,Ecotox (soil compartment),chronic/long term toxicity,Red tiger worm,Not reported,,EC10,>,837,mg/kg,mortality,
Calcium di-L-glutamate,EFSA ANS,2017,2972,Human health,other,Rat,oral: feed,,NOAEL,=,3200,mg/kg bw/day,behaviour,neurotoxicity
Calcium ferrocyanide,EFSA ANS,2018,3063,Human health,chronic/long term toxicity,Rat,oral: feed,730,NOAEL,=,4.4,mg/kg bw/day,urinalysis,nephrotoxicity
Calcium iodate,EFSA FEEDAP,2013,2184,Animal (target species) health,not reported,Chicken,Not reported,,dose level,=,5,mg/kg,no adverse effect observed,
Calcium iodate,EFSA FEEDAP,2013,2184,Animal (target species) health,not reported,Pig,Not reported,,dose level,=,8,mg/kg,no adverse effect observed,
Calcium iodate,EFSA FEEDAP,2013,2185,Animal (target species) health,not reported,Chicken,Not reported,,dose level,=,5,mg/kg,no adverse effect observed,
Calcium iodate,EFSA FEEDAP,2013,2185,Animal (target species) health,not reported,Pig,Not reported,,dose level,=,8,mg/kg,no adverse effect observed,
Calcium iodate,EFSA FEEDAP,2013,2186,Animal (target species) health,not reported,Chicken,Not reported,,dose level,=,5,mg/kg,no adverse effect observed,
Calcium iodate,EFSA FEEDAP,2013,2186,Animal (target species) health,not reported,Pig,Not reported,,dose level,=,8,mg/kg,no adverse effect observed,
Calcium iodate,EFSA FEEDAP,2013,2214,Animal (target species) health,short-term toxicity,Pig,Not reported,,dose level,=,8,mg/kg,no adverse effect observed,
Calcium iodate,EFSA FEEDAP,2013,2214,Animal (target species) health,subchronic,Chicken,oral: feed,35,dose level,=,5,mg/kg,no adverse effect observed,
Calcium lactate,EFSA FEEDAP,2019,3378,Animal (target species) health,subchronic,Chicken,oral: feed,42,dose level,=,30000,mg/kg,no adverse effect observed at single/highest dose,
Calcium lignosulphonate (40-65),EFSA CONTAM,2017,2909,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,2000,mg/kg bw/day,no adverse effect observed at single/highest dose,
Calcium phosphide,EFSA,2008,1149,Animal (non-target species) health,acute toxicity,Bobwhite quail,oral: unspecified,,LD50,<,24.7,mg/kg bw/day,mortality,systemic
Calcium phosphide,EFSA,2008,1149,Animal (non-target species) health,short-term toxicity,Bobwhite quail,oral: feed,,LC50,=,330,mg/kg,mortality,systemic
Calcium phosphide,EFSA,2008,1149,Animal (non-target species) health,short-term toxicity,Mallard duck,oral: feed,,LC50,=,2037,mg/kg,mortality,systemic
Calcium phosphide,EFSA,2008,1149,Human health,chronic/long term toxicity,Rat,inhalation: unspecified,730,NOAEL,=,1.1,mg/kg bw/day,no adverse effect observed at single/highest dose,
Calcium phosphide,EFSA,2008,1149,Human health,reproduction toxicity,Rat,inhalation: unspecified,,NOAEL,=,1.9,mg/kg bw/day,mortality,systemic
Calcium phosphide,EFSA,2008,1149,Human health,subchronic,Rat,inhalation: unspecified,90,NOAEL,=,1.1,mg/kg bw/day,no adverse effect observed at single/highest dose,
Calcium phosphide,EFSA,2011,1300,Animal (non-target species) health,acute toxicity,Bobwhite quail,oral: unspecified,,LD50,<,24.7,mg/kg bw/day,mortality,systemic
Calcium phosphide,EFSA,2011,1300,Animal (non-target species) health,reproduction toxicity,Japanese quail,Not reported,,NOEC,=,0.49,mg/kg bw/day,mortality,systemic
Calcium phosphide,EFSA,2011,1300,Animal (non-target species) health,reproduction toxicity,Japanese quail,Not reported,,NOEC,=,2.47,mg/kg bw/day,mortality,systemic
Calcium phosphide,EFSA,2011,1300,Animal (non-target species) health,short-term toxicity,Bobwhite quail,oral: feed,,LC50,=,330,mg/kg,mortality,systemic
Calcium phosphide,EFSA,2011,1300,Animal (non-target species) health,short-term toxicity,Mallard duck,oral: feed,,LC50,=,2037,mg/kg,mortality,systemic
Calcium phosphide,EFSA,2011,1300,Human health,chronic/long term toxicity,Rat,inhalation: unspecified,730,NOAEL,=,1.1,mg/kg bw/day,not reported,not reported
Calcium phosphide,EFSA,2011,1300,Human health,reproduction toxicity,Rat,inhalation: unspecified,,NOAEL,=,1.9,mg/kg bw,mortality,reproductive
Calcium phosphide,EFSA,2011,1300,Human health,subchronic,Rat,inhalation: unspecified,90,NOAEL,=,1.1,mg/kg bw/day,not reported,not reported
Calcium phosphide formulation (Polytanol),EFSA,2008,1149,Animal (non-target species) health,acute toxicity,Rat,inhalation: unspecified,0.166666667,LD50,=,0.09,mg/L,mortality,systemic
Calcium phosphide formulation (Polytanol),EFSA,2008,1149,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,=,72.32,mg/kg bw/day,mortality,systemic
Calcium stearoyl-2-lactylate,EFSA ANS,2013,2198,Human health,chronic/long term toxicity,Rat,Not reported,365,NOAEL,ca.,2200,mg/kg bw/day,no adverse effect observed at single/highest dose,
Calcium tartrate (E 354),EFSA FAF,2020,3504,Human health,chronic/long term toxicity,Rat,oral: feed,728,NOAEL,=,3100,mg/kg bw/day,no adverse effect observed at single/highest dose,
Camphechlor,EFSA CONTAM,2005,64,Animal (target species) health,acute toxicity,Cattle,oral: feed,,dose level,=,35,mg/kg bw,clinical signs,neurotoxicity
Camphechlor,EFSA CONTAM,2005,64,Animal (target species) health,chronic/long term toxicity,Common quail,oral: unspecified,120,LOAEL,=,0.3,mg/kg bw/day,organ weights,endocrine
Camphechlor,EFSA CONTAM,2005,64,Animal (target species) health,reproduction toxicity,Black duck,oral: feed,90,LOAEL,=,0.6,mg/kg bw/day,development,developmental
Camphechlor,EFSA CONTAM,2005,64,Animal (target species) health,reproduction toxicity,Chicken,oral: feed,210,LOEL,=,0.05,mg/kg bw/day,morphology,musclo-skeletal
Camphechlor,EFSA CONTAM,2005,64,Animal (target species) health,reproduction toxicity,Common pheasant,oral: feed,90,NOAEL,=,12,mg/kg bw/day,mortality,developmental
Camphechlor,EFSA CONTAM,2005,64,Animal (target species) health,subchronic,Dog,oral: capsule,91,NOAEL,=,0.2,mg/kg bw/day,histopathology non neoplastic,hepatotoxicity
Camphechlor,EFSA CONTAM,2005,64,Human health,chronic/long term toxicity,Cynomolgus monkey,Not reported,231,NOAEL,=,100,µg/kg bw/day,immunology,immunotoxicity
Camphene,EFSA CEF,2015,2635,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,222,mg/kg bw/day,haematology,systemic
Camphene,EFSA FEEDAP,2016,2722,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,222,mg/kg bw/day,haematology,systemic
Candelilla wax,EFSA ANS,2012,2150,Human health,chronic/long term toxicity,Dog,oral: unspecified,180,NOAEL,=,600,mg/kg bw/day,no adverse effect observed at single/highest dose,
Candelilla wax,EFSA ANS,2012,2150,Human health,chronic/long term toxicity,Rat,oral: unspecified,180,NOAEL,=,2400,mg/kg bw/day,no adverse effect observed at single/highest dose,
Canthaxanthin,EFSA ANS,2010,460,Human health,study with volunteers,Human,Not reported,,BMDL05,>=,0.2,mg/kg bw/day,ophthalmoscopic examination,
Canthaxanthin,EFSA ANS,2010,460,Human health,study with volunteers,Human,Not reported,,NOAEL,=,0.25,mg/kg bw/day,ophthalmoscopic examination,
Captan,EFSA,2009,1183,Animal (non-target species) health,acute toxicity,Mallard duck,oral: unspecified,,LD50,>,2000,mg/kg bw,mortality,systemic
Captan,EFSA,2009,1183,Animal (non-target species) health,acute toxicity,Mouse,oral: unspecified,,LD50,>,2000,mg/kg bw,mortality,systemic
Captan,EFSA,2009,1183,Animal (non-target species) health,acute toxicity,Quail,oral: unspecified,,LD50,>,2000,mg/kg bw,mortality,systemic
Captan,EFSA,2009,1183,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,>,2000,mg/kg bw,mortality,systemic
Captan,EFSA,2009,1183,Animal (non-target species) health,reproduction toxicity,Mallard duck,oral: unspecified,,NOEC,=,74.4,mg/kg bw/day,no adverse effect observed at single/highest dose,
Captan,EFSA,2009,1183,Animal (non-target species) health,reproduction toxicity,Mammalian cell line,oral: feed,,NOAEL,=,100,mg/kg bw/day,reproduction,reproductive
Captan,EFSA,2009,1183,Animal (non-target species) health,reproduction toxicity,Quail,oral: unspecified,,NOEC,=,83.2,mg/kg bw/day,no adverse effect observed at single/highest dose,
Captan,EFSA,2009,1183,Animal (non-target species) health,short-term toxicity,Mallard duck,oral: feed,,LC50,>,1040,mg/kg bw/day,mortality,systemic
Captan,EFSA,2009,1183,Animal (non-target species) health,short-term toxicity,Quail,oral: feed,,LC50,>,800,mg/kg bw/day,mortality,systemic
Captan,EFSA,2009,1183,Ecotox (soil compartment),acute toxicity,Honey bee,dermal,2,LC50,>,200,µg/piece,mortality,
Captan,EFSA,2009,1183,Ecotox (soil compartment),acute toxicity,Honey bee,oral: unspecified,2,LD50,>,100,µg/piece,mortality,
Captan,EFSA,2009,1183,Ecotox (soil compartment),acute toxicity,Tiger worm,Not reported,14,LC50,>,519.3,mg/kg,mortality,
Captan,EFSA,2009,1183,Ecotox (soil compartment),chronic/long term toxicity,Tiger worm,Not reported,56,NOEC,=,11.6,mg/kg,reproduction,
Captan,EFSA,2009,1183,Ecotox (water compartment),acute toxicity,Brown trout,Not reported,4,LC50,=,0.098,mg/L,mortality,
Captan,EFSA,2009,1183,Ecotox (water compartment),acute toxicity,Daphnia magna,Not reported,1,EC50,=,3.4,mg/L,mortality,
Captan,EFSA,2009,1183,Ecotox (water compartment),acute toxicity,Pseudokirchneriella subcapitata,Not reported,4,EC50,=,1.6,mg/L,biomass,
Captan,EFSA,2009,1183,Ecotox (water compartment),chronic/long term toxicity,Daphnia magna,Not reported,21,NOEC,=,0.56,mg/L,not reported,
Captan,EFSA,2009,1183,Ecotox (water compartment),chronic/long term toxicity,Rainbow trout,Not reported,28,NOEC,=,0.1992,mg/L,not reported,
Captan,EFSA,2009,1183,Human health,reproduction toxicity,Rabbit,Not reported,,NOAEL,=,30,mg/kg bw/day,development,teratogenic
Captan,EFSA,2009,1183,Human health,reproduction toxicity,Rat,Not reported,,NOAEL,=,10,mg/kg bw/day,development,teratogenic
Captan,EFSA PPR,2020,3748,Animal (non-target species) health,acute toxicity,Bobwhite quail,oral: unspecified,,LD50,>,2000,mg/kg bw/day,mortality,systemic
Captan,EFSA PPR,2020,3748,Animal (non-target species) health,acute toxicity,Mouse,oral: unspecified,,LD50,=,3724,mg/kg bw/day,mortality,systemic
Captan,EFSA PPR,2020,3748,Animal (non-target species) health,reproduction toxicity,Mallard duck,Not reported,,NOEL,=,74.4,mg/kg bw/day,not reported,not reported
Captan,EFSA PPR,2020,3748,Animal (non-target species) health,reproduction toxicity,Rabbit,Not reported,,NOAEL,=,20,mg/kg bw/day,development,developmental
Captan,EFSA PPR,2020,3748,Ecotox (soil compartment),acute toxicity,Honey bee,dermal,2,LD50,>,200,µg/piece,mortality,
Captan,EFSA PPR,2020,3748,Ecotox (soil compartment),acute toxicity,Honey bee,oral: unspecified,2,LD50,>,100,µg/piece,mortality,
Captan,EFSA PPR,2020,3748,Ecotox (soil compartment),chronic/long term toxicity,Folsomia candida,Not reported,,NOEC,=,100.1,mg/kg,reproduction,
Captan,EFSA PPR,2020,3748,Ecotox (soil compartment),chronic/long term toxicity,Tiger worm,Not reported,,NOEC,=,7.3,mg/kg,reproduction,
Captan,EFSA PPR,2020,3748,Ecotox (soil compartment),not reported,Aphidius rhopalosiphi,Not reported,,ER50,>,1868,g/ha,mortality,
Captan,EFSA PPR,2020,3748,Ecotox (soil compartment),not reported,Aphidius rhopalosiphi,Not reported,,LR50,>,3200,g/ha,mortality,
Captan,EFSA PPR,2020,3748,Ecotox (soil compartment),not reported,Rapeseed (oilseed rape),Not reported,,ER50,>,24.36,g/ha,other,
Captan,EFSA PPR,2020,3748,Ecotox (water compartment),acute toxicity,Atlantic salmon,Not reported,4,LC50,=,0.0913,mg/L,mortality,
Captan,EFSA PPR,2020,3748,Ecotox (water compartment),acute toxicity,Pseudokirchneriella subcapitata,Not reported,3,EC50,=,0.316,mg/L,growth,
Captan,EFSA PPR,2020,3748,Ecotox (water compartment),acute toxicity,Rainbow trout,Not reported,4,LC50,=,0.0147,mg/L,mortality,
Captan,EFSA PPR,2020,3748,Ecotox (water compartment),chronic/long term toxicity,Daphnia magna,Not reported,28,NOEC,=,0.4,mg/L,reproduction,
Captan,EFSA PPR,2020,3748,Ecotox (water compartment),chronic/long term toxicity,Rainbow trout,Not reported,95,NOEC,=,0.2,mg/L,growth,
Captan,EFSA PPR,2020,3748,Human health,chronic/long term toxicity,Rat,Not reported,730,NOAEL,=,25,mg/kg bw/day,body weight,systemic
Captan,EFSA PPR,2020,3748,Human health,reproduction toxicity,Rat,Not reported,,NOAEL,=,25,mg/kg bw/day,body weight,systemic
Captan,EFSA PPR,2020,3748,Human health,reproduction toxicity,Rat,Not reported,,NOAEL,=,90,mg/kg bw/day,development,developmental
Captan formulation (83 WP),EFSA,2009,1183,Ecotox (soil compartment),not reported,Aphidius rhopalosiphi,Not reported,,dose level,=,600,g/ha,mortality,
Captan formulation (Merpan 80 WDG),EFSA,2009,1183,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,>,2000,mg/kg bw,mortality,systemic
Caramel colours,EFSA ANS,2011,480,Human health,reproduction toxicity,Rat,oral: drinking water,21,NOAEL,>=,25,g/kg bw/day,no adverse effect observed at single/highest dose,
Caramel colours,EFSA ANS,2011,480,Human health,subchronic,Rat,oral: drinking water,91,NOAEL,=,30,g/kg bw/day,no adverse effect observed at single/highest dose,
Carbaryl,EFSA,2006,1089,Animal (non-target species) health,acute toxicity,Mallard duck,oral: unspecified,,LD50,>,2000,mg/kg bw,mortality,systemic
Carbaryl,EFSA,2006,1089,Animal (non-target species) health,acute toxicity,Rat,inhalation: unspecified,,LD50,=,2.43,mg/L,mortality,systemic
Carbaryl,EFSA,2006,1089,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,=,614,mg/kg bw,mortality,systemic
Carbaryl,EFSA,2006,1089,Animal (non-target species) health,reproduction toxicity,Mallard duck,Not reported,,NOEC,=,30,mg/kg bw/day,not reported,not reported
Carbaryl,EFSA,2006,1089,Animal (non-target species) health,reproduction toxicity,Rat,Not reported,,NOAEL,=,4.67,mg/kg bw/day,reproduction,reproductive
Carbaryl,EFSA,2006,1089,Animal (non-target species) health,short-term toxicity,Bobwhite quail,oral: feed,,LC50,>,1000,mg/kg bw/day,mortality,systemic
Carbaryl,EFSA,2006,1089,Ecotox (soil compartment),acute toxicity,Grey worm,Not reported,14,LC50,<,4,mg/kg,mortality,
Carbaryl,EFSA,2006,1089,Ecotox (soil compartment),acute toxicity,Honey bee,dermal,3,LD50,>,0.14,µg/piece,mortality,
Carbaryl,EFSA,2006,1089,Ecotox (soil compartment),not reported,Aphidius rhopalosiphi,Not reported,,LR50,=,0.0247,g/ha,mortality,
Carbaryl,EFSA,2006,1089,Ecotox (water compartment),acute toxicity,Daphnia pulex,Not reported,2,LC50,=,0.0064,mg/L,mortality,
Carbaryl,EFSA,2006,1089,Ecotox (water compartment),acute toxicity,Rainbow trout,Not reported,4,LC50,=,0.61,mg/L,mortality,
Carbaryl,EFSA,2006,1089,Ecotox (water compartment),acute toxicity,Swollen duckweed,Not reported,7,EC50,=,13.7,mg/L,frond number,
Carbaryl,EFSA,2006,1089,Ecotox (water compartment),acute toxicity,Swollen duckweed,Not reported,7,NOEC,=,5,mg/L,frond number,
Carbaryl,EFSA,2006,1089,Ecotox (water compartment),chronic/long term toxicity,Daphnia magna,Not reported,,NOEC,=,0.0033,mg/L,not reported,
Carbaryl,EFSA,2006,1089,Ecotox (water compartment),chronic/long term toxicity,Fathead minnow,Not reported,34,NOEC,=,0.21,mg/L,not reported,
Carbaryl,EFSA,2006,1089,Human health,chronic/long term toxicity,Mouse,oral: feed,730,LOAEL,=,15,mg/kg bw/day,histopathology neoplastic,systemic
Carbaryl,EFSA,2006,1089,Human health,subchronic,Rat,oral: gavage,91,NOAEL,=,1,mg/kg bw/day,clinical signs,neurotoxicity
Carbaryl formulation,EFSA,2006,1089,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,=,300,mg/kg,mortality,systemic
Carbendazim,EFSA,2010,1215,Animal (non-target species) health,acute toxicity,Bobwhite quail,oral: unspecified,,LD50,>,2250,mg/kg bw/day,mortality,systemic
Carbendazim,EFSA,2010,1215,Animal (non-target species) health,acute toxicity,Dog,oral: unspecified,,LD50,>,5000,mg/kg bw/day,mortality,systemic
Carbendazim,EFSA,2010,1215,Animal (non-target species) health,chronic/long term toxicity,Rat,Not reported,,NOEL,=,22.5,mg/kg bw/day,organ weights,hepatotoxicity
Carbendazim,EFSA,2010,1215,Animal (non-target species) health,reproduction toxicity,Mallard duck,Not reported,,NOEL,=,24.6,mg/kg bw/day,not reported,not reported
Carbendazim,EFSA,2010,1215,Animal (non-target species) health,short-term toxicity,Mallard duck,oral: feed,,LDD50 (Lethal Dietary Dose),=,615,mg/kg bw/day,mortality,systemic
Carbendazim,EFSA,2010,1215,Ecotox (soil compartment),acute toxicity,Honey bee,dermal,,LD50,>,50,µg/piece,mortality,
Carbendazim,EFSA,2010,1215,Ecotox (soil compartment),acute toxicity,Tiger worm,Not reported,14,LC50,=,5.4,mg/kg,mortality,
Carbendazim,EFSA,2010,1215,Ecotox (soil compartment),chronic/long term toxicity,Tiger worm,Not reported,56,NOEC,=,1,mg/kg,not reported,
Carbendazim,EFSA,2010,1215,Ecotox (water compartment),acute toxicity,Channel catfish,Not reported,4,LC50,=,0.019,mg/L,mortality,
Carbendazim,EFSA,2010,1215,Ecotox (water compartment),acute toxicity,Daphnia magna,Not reported,2,EC50,=,0.15,mg/L,mortality,
Carbendazim,EFSA,2010,1215,Ecotox (water compartment),acute toxicity,Pseudokirchneriella subcapitata,Not reported,3,EC50,=,7.7,mg/L,biomass,
Carbendazim,EFSA,2010,1215,Ecotox (water compartment),chronic/long term toxicity,Daphnia magna,Not reported,21,NOEC,=,0.0015,mg/L,reproduction,
Carbendazim,EFSA,2010,1215,Ecotox (water compartment),chronic/long term toxicity,Harlequin fly,Not reported,28,NOEC,=,0.0133,mg/L,not reported,
Carbendazim,EFSA,2010,1215,Ecotox (water compartment),chronic/long term toxicity,Rainbow trout,Not reported,21,NOEC,=,0.0032,mg/L,growth,
Carbendazim,EFSA,2010,1215,Human health,reproduction toxicity,Rabbit,Not reported,,NOAEL,=,10,mg/kg bw/day,development,teratogenic
Carbendazim,EFSA,2010,1215,Human health,reproduction toxicity,Rat,Not reported,,NOAEL,=,10,mg/kg bw/day,development,teratogenic
Carbetamide,EFSA,2010,1269,Animal (non-target species) health,acute toxicity,Bobwhite quail,oral: unspecified,,LD50,>,2000,mg/kg bw/day,mortality,systemic
Carbetamide,EFSA,2010,1269,Animal (non-target species) health,acute toxicity,Mouse,oral: unspecified,,LD50,=,1718,mg/kg bw/day,mortality,systemic
Carbetamide,EFSA,2010,1269,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,>,2000,mg/kg bw/day,mortality,systemic
Carbetamide,EFSA,2010,1269,Animal (non-target species) health,chronic/long term toxicity,Mouse,oral: unspecified,728,NOEL,=,21,mg/kg bw/day,histopathology neoplastic,systemic
Carbetamide,EFSA,2010,1269,Animal (non-target species) health,reproduction toxicity,Japanese quail,Not reported,,NOEC,=,169,mg/kg bw/day,reproduction,reproductive
Carbetamide,EFSA,2010,1269,Animal (non-target species) health,reproduction toxicity,Rat,Not reported,,NOAEL,=,208,mg/kg bw/day,reproduction,reproductive
Carbetamide,EFSA,2010,1269,Animal (non-target species) health,short-term toxicity,Japanese quail,oral: feed,,LC50,>,1044,mg/kg bw/day,mortality,systemic
Carbetamide,EFSA,2010,1269,Ecotox (soil compartment),acute toxicity,Honey bee,oral: unspecified,,LD50,>,63.22,µg/piece,mortality,
Carbetamide,EFSA,2010,1269,Ecotox (soil compartment),acute toxicity,Tiger worm,Not reported,14,LC50,=,660,mg/kg,mortality,
Carbetamide,EFSA,2010,1269,Ecotox (soil compartment),not reported,Aphidius rhopalosiphi,Not reported,,LR50,>,3015,g/ha,mortality,
Carbetamide,EFSA,2010,1269,Ecotox (water compartment),acute toxicity,Common carp,Not reported,4,LC50,>,100,mg/L,mortality,
Carbetamide,EFSA,2010,1269,Ecotox (water compartment),acute toxicity,Daphnia magna,Not reported,2,EC50,=,81,mg/L,mortality,
Carbetamide,EFSA,2010,1269,Ecotox (water compartment),acute toxicity,Navicula pelliculosa,Not reported,3,EC50,=,128,mg/L,biomass,
Carbetamide,EFSA,2010,1269,Ecotox (water compartment),acute toxicity,Rainbow trout,Not reported,4,LC50,>,100,mg/L,mortality,
Carbetamide,EFSA,2010,1269,Ecotox (water compartment),acute toxicity,Swollen duckweed,Not reported,7,EC50,=,301,mg/L,frond number,
Carbetamide,EFSA,2010,1269,Ecotox (water compartment),chronic/long term toxicity,Daphnia magna,Not reported,21,NOEC,=,1,mg/L,reproduction,
Carbetamide,EFSA,2010,1269,Ecotox (water compartment),chronic/long term toxicity,Rainbow trout,Not reported,21,NOEC,>,100,mg/L,growth,
Carbetamide,EFSA,2010,1269,Human health,chronic/long term toxicity,Dog,oral: unspecified,365,NOAEL,=,30,mg/kg bw/day,organ weights,hepatotoxicity
Carbetamide,EFSA,2010,1269,Human health,chronic/long term toxicity,Rat,oral: unspecified,730,NOAEL,=,6,mg/kg bw/day,histopathology non neoplastic,systemic
Carbetamide,EFSA,2010,1269,Human health,subchronic,Dog,oral: unspecified,90,NOAEL,=,30,mg/kg bw/day,organ weights,hepatotoxicity
Carbetamide,EFSA,2010,1269,Human health,subchronic,Rat,oral: unspecified,90,NOAEL,=,12.5,mg/kg bw/day,histopathology non neoplastic,hepatotoxicity
Carbetamide formulation (FSG 01002 H),EFSA,2010,1269,Animal (non-target species) health,acute toxicity,Japanese quail,oral: unspecified,,LD50,>,1200,mg/kg bw/day,mortality,systemic
Carbetamide formulation (FSG 01002 H),EFSA,2010,1269,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,>,1200,mg/kg bw/day,mortality,systemic
Carbofuran,EFSA,2006,1098,Animal (non-target species) health,acute toxicity,Mallard duck,oral: unspecified,,LD50,=,0.71,mg/kg bw,mortality,systemic
Carbofuran,EFSA,2006,1098,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,<,5.6,mg/kg bw,mortality,systemic
Carbofuran,EFSA,2006,1098,Animal (non-target species) health,short-term toxicity,Mallard duck,oral: feed,,LC50,=,1.6,mg/kg bw/day,mortality,systemic
Carbofuran,EFSA,2006,1098,Ecotox (soil compartment),acute toxicity,Honey bee,dermal,,LD50,=,0.0357,µg/piece,mortality,
Carbofuran,EFSA,2006,1098,Ecotox (water compartment),acute toxicity,Bluegill,Not reported,4,LC50,=,0.18,mg/L,mortality,
Carbofuran,EFSA,2006,1098,Ecotox (water compartment),acute toxicity,Daphnia magna,Not reported,2,EC50,=,0.0094,mg/L,mortality,
Carbofuran,EFSA,2006,1098,Ecotox (water compartment),acute toxicity,Pseudokirchneriella subcapitata,Not reported,3,EC50,=,6.5,mg/L,biomass,
Carbofuran,EFSA,2006,1098,Ecotox (water compartment),chronic/long term toxicity,Ceriodaphnia dubia,Not reported,7,NOEC,=,0.00016,mg/L,reproduction,
Carbofuran,EFSA,2006,1098,Human health,chronic/long term toxicity,Dog,oral: unspecified,365,NOAEL,=,0.1,mg/kg bw/day,clinical signs,systemic
Carbofuran,EFSA,2006,1098,Human health,reproduction toxicity,Rat,Not reported,,NOAEL,=,0.1,mg/kg bw/day,clinical signs,reproductive
Carbofuran,EFSA,2006,1099,Human health,chronic/long term toxicity,Dog,oral: unspecified,365,NOAEL,=,0.1,mg/kg bw/day,clinical signs,neurotoxicity
Carbofuran,EFSA,2006,1099,Human health,reproduction toxicity,Rat,Not reported,,NOAEL,=,0.1,mg/kg bw/day,not reported,not reported
Carbofuran,EFSA,2009,1187,Animal (non-target species) health,acute toxicity,Bobwhite quail,oral: unspecified,,LD50,=,8,mg/kg bw/day,mortality,systemic
Carbofuran,EFSA,2009,1187,Animal (non-target species) health,acute toxicity,Common pheasant,oral: unspecified,,LD50,=,4,mg/kg bw/day,mortality,systemic
Carbofuran,EFSA,2009,1187,Animal (non-target species) health,acute toxicity,Common pheasant,oral: unspecified,,LD50,=,6.2,mg/kg bw/day,mortality,systemic
Carbofuran,EFSA,2009,1187,Animal (non-target species) health,acute toxicity,Mallard duck,oral: unspecified,,LD50,=,0.71,mg/kg bw/week,mortality,systemic
Carbofuran,EFSA,2009,1187,Animal (non-target species) health,acute toxicity,Mallard duck,oral: unspecified,,LD50,=,0.76,mg/kg bw/day,mortality,systemic
Carbofuran,EFSA,2009,1187,Animal (non-target species) health,acute toxicity,Mallard duck,oral: unspecified,,LD50,=,0.86,mg/kg bw/day,mortality,systemic
Carbofuran,EFSA,2009,1187,Animal (non-target species) health,acute toxicity,Quail,oral: unspecified,,LD50,=,3.5,mg/kg bw/day,mortality,systemic
Carbofuran,EFSA,2009,1187,Animal (non-target species) health,acute toxicity,Quail,oral: unspecified,,LD50,=,4.9,mg/kg bw/day,mortality,systemic
Carbofuran,EFSA,2009,1187,Animal (non-target species) health,acute toxicity,Rat,oral: unspecified,,LD50,<,5.6,mg/kg bw/day,mortality,systemic
Carbofuran,EFSA,2009,1187,Animal (non-target species) health,chronic/long term toxicity,Rat,Not reported,,NOAEL,=,0.1,mg/kg bw/day,mortality,systemic
Carbofuran,EFSA,2009,1187,Animal (non-target species) health,short-term toxicity,Bobwhite quail,oral: feed,,LC50,=,158,mg/kg,mortality,systemic
Carbofuran,EFSA,2009,1187,Animal (non-target species) health,short-term toxicity,Bobwhite quail,oral: feed,,LC50,=,855,mg/kg,mortality,systemic
Carbofuran,EFSA,2009,1187,Animal (non-target species) health,short-term toxicity,Bobwhite quail,oral: feed,,LC50,=,1000,mg/kg,mortality,systemic
Carbofuran,EFSA,2009,1187,Animal (non-target species) health,short-term toxicity,Bobwhite quail,oral: feed,5,LC50,=,114,mg/kg bw/day,mortality,systemic
Carbofuran,EFSA,2009,1187,Animal (non-target species) health,short-term toxicity,Bobwhite quail,oral: feed,7,LC50,=,20.8,mg/kg bw/day,mortality,systemic
Carbofuran,EFSA,2009,1187,Animal (non-target species) health,short-term toxicity,Bobwhite quail,oral: feed,14,LC50,=,15.8,mg/kg bw/day,mortality,systemic
Carbofuran,EFSA,2009,1187,Animal (non-target species) health,short-term toxicity,Mallard duck,oral: feed,,LC50,=,21,mg/kg,mortality,systemic
