Substance,Author,Year,OutputID,Genotoxicity
2-Ethylpyridine,EFSA AFC,2008,2270,Not determined
2-Ethylpyridine,EFSA CEF,2013,2380,Not determined
2-Ethylthiazole,EFSA AFC,2008,2238,Not determined
2-Ethylthiazole,EFSA CEF,2009,2009,Not determined
2-Ethylthiazole,EFSA CEF,2011,2083,Not determined
2-Ethylthiazole,EFSA CEF,2012,2119,Not determined
2-Ethylthiazole,EFSA CEF,2013,2378,Not determined
2-Ethylthiazole,EFSA CEF,2015,2634,Ambiguous
2-Ethylthiophene,EFSA AFC,2008,2238,Not determined
2-Ethylthiophene,EFSA CEF,2009,2009,Not determined
2-Ethylthiophene,EFSA CEF,2011,2083,Not determined
2-Ethylthiophene,EFSA CEF,2012,2119,Not determined
2-Furanmethanethiol,EFSA AFC,2005,2096,Not determined
2-Furanmethanethiol,EFSA CEF,2010,2051,Not determined
2-Furanmethanethiol,EFSA CEF,2010,2054,Not determined
2-Furanmethanethiol,EFSA CEF,2015,2620,Not determined
2-Furanmethanethiol,EFSA FEEDAP,2016,2768,Not determined
2-Furoic acid,EFSA AFC,2005,2096,Negative
2-Furoic acid,EFSA CEF,2010,2051,Negative
2-Furoic acid,EFSA CEF,2011,2110,Negative
2-Heptenal,EFSA CEF,2014,2498,Ambiguous
2-Heptenal,EFSA CEF,2018,3155,Negative
2-Heptenal,EFSA FAF,2020,3382,Negative
2-Heptylfuran,EFSA CEF,2010,2052,Ambiguous
2-Heptylfuran,EFSA CEF,2011,2112,Ambiguous
2-Heptylfuran,EFSA CEF,2015,2653,Positive
2-Heptylfuran,EFSA FAF,2019,3287,Not determined
2-Hexanoylfuran,EFSA CEF,2011,2112,Ambiguous
2-Hexanoylfuran,EFSA CEF,2015,2653,Positive
2-Hexenal,EFSA CEF,2014,2498,Ambiguous
2-Hexenal,EFSA CEF,2018,3155,Negative
2-Hexenal,EFSA FAF,2019,3267,Negative
2-Hexenoic acid,EFSA CEF,2010,2048,Not determined
2-Hexenoic acid,EFSA FAF,2019,3267,Negative
2-Hexenyl octanoate,EFSA CEF,2014,2498,Ambiguous
2-Hexenyl octanoate,EFSA CEF,2018,3155,Negative
2-Hexenyl octanoate,EFSA FAF,2020,3382,Negative
"2-Hexyl-4,5-dimethyl-1,3-dioxolane",EFSA CEF,2010,2058,Not determined
"2-Hexyl-5-hydroxy-1,3-dioxane",EFSA AFC,2009,2306,Negative
"2-Hexyl-5-hydroxy-1,3-dioxane",EFSA CEF,2011,2100,Not determined
"2-Hexyl-5-hydroxy-1,3-dioxane",EFSA CEF,2012,2125,Not determined
2-Hexylfuran,EFSA FAF,2019,3287,Not determined
2-Hexylidenecyclopentan-1-one,EFSA CEF,2011,2087,Negative
2-Hexylidenecyclopentan-1-one,EFSA CEF,2012,2128,Negative
2-Hexylidenecyclopentan-1-one,EFSA CEF,2016,2733,Negative
2-Hexylpyridine,EFSA AFC,2006,2233,Not determined
2-Hexylpyridine,EFSA AFC,2008,2270,Not determined
2-Hexylpyridine,EFSA CEF,2013,2380,Not determined
2-Hexylthiophene,EFSA AFC,2008,2238,Not determined
2-Hexylthiophene,EFSA CEF,2009,2009,Not determined
2-Hexylthiophene,EFSA CEF,2011,2083,Not determined
2-Hexylthiophene,EFSA CEF,2012,2119,Not determined
2-Hexylthiophene,EFSA CEF,2013,2378,Not determined
2-Hexylthiophene,EFSA CEF,2015,2634,Ambiguous
"2-Hydroxy-3,5,5-trimethylcyclohex-2-en-1-one",EFSA CEF,2009,2292,Negative
"2-Hydroxy-3,5,5-trimethylcyclohex-2-en-1-one",EFSA CEF,2014,2485,Negative
"2-Hydroxy-3,5,5-trimethylcyclohex-2-en-1-one",EFSA CEF,2015,2694,Negative
2-Hydroxy-4-methylbenzaldehyde,EFSA AFC,2008,2243,Negative
2-Hydroxy-4-methylvaleric acid,EFSA AFC,2005,2122,Negative
2-Hydroxy-4-methylvaleric acid,EFSA AFC,2009,2306,Negative
2-Hydroxy-4-methylvaleric acid,EFSA CEF,2011,2100,Not determined
2-Hydroxy-4-methylvaleric acid,EFSA CEF,2012,2125,Not determined
2-Hydroxy-N-(2-hydroxyethyl)propanamide,EFSA CEF,2010,2043,Negative
2-Hydroxy-N-(2-hydroxyethyl)propanamide,EFSA CEF,2012,2134,Negative
2-Hydroxy-N-(2-hydroxyethyl)propanamide,EFSA CEF,2014,2481,Negative
2-Hydroxy-N-[2-(4-hydroxyphenyl)ethyl]-propionamide,EFSA CEF,2010,2040,Not determined
2-Hydroxyacetophenone,EFSA AFC,2008,2254,Not determined
2-Hydroxycyclohex-2-en-1-one,EFSA CEF,2009,2292,Negative
2-Hydroxycyclohex-2-en-1-one,EFSA CEF,2014,2485,Negative
2-Hydroxycyclohex-2-en-1-one,EFSA CEF,2015,2694,Negative
2-Hydroxypiperitone,EFSA CEF,2009,2292,Negative
2-Hydroxypiperitone,EFSA CEF,2011,2032,Not determined
2-Hydroxypiperitone,EFSA CEF,2014,2485,Negative
2-Hydroxypiperitone,EFSA CEF,2014,2778,Not determined
2-Hydroxypiperitone,EFSA CEF,2015,2694,Negative
2-Hydroxypyridine,EFSA AFC,2006,2233,Not determined
2-Hydroxypyridine,EFSA AFC,2008,2270,Not determined
2-Hydroxypyridine,EFSA CEF,2013,2380,Not determined
2-Isobutyl-3-methoxypyrazine,EFSA AFC,2008,2242,Negative
2-Isobutyl-3-methoxypyrazine,EFSA CEF,2011,2075,Negative
2-Isobutyl-3-methoxypyrazine,EFSA FEEDAP,2017,2919,Not determined
2-Isobutyl-3-methylpyrazine,EFSA AFC,2008,2242,Negative
2-Isobutyl-3-methylpyrazine,EFSA CEF,2011,2075,Negative
2-Isobutyl-3-thiazoline,EFSA AFC,2008,2238,Ambiguous
2-Isobutyl-3-thiazoline,EFSA CEF,2009,2009,Ambiguous
2-Isobutyl-3-thiazoline,EFSA CEF,2011,2083,Ambiguous
2-Isobutyl-3-thiazoline,EFSA CEF,2012,2119,Positive
2-Isobutyl-3-thiazoline,EFSA CEF,2013,2378,Ambiguous
2-Isobutyl-3-thiazoline,EFSA CEF,2015,2634,Not determined
"2-Isobutyl-4,5-dimethylthiazole",EFSA AFC,2008,2238,Not determined
"2-Isobutyl-4,5-dimethylthiazole",EFSA CEF,2009,2009,Not determined
"2-Isobutyl-4,5-dimethylthiazole",EFSA CEF,2011,2083,Not determined
"2-Isobutyl-4,5-dimethylthiazole",EFSA CEF,2012,2119,Not determined
"2-Isobutyl-4,5-dimethylthiazole",EFSA CEF,2013,2378,Not determined
"2-Isobutyl-4,5-dimethylthiazole",EFSA CEF,2015,2634,Ambiguous
"2-Isobutyl-4-methyl-1,3-dioxolane",EFSA AFC,2009,2306,Negative
"2-Isobutyl-4-methyl-1,3-dioxolane",EFSA CEF,2011,2100,Not determined
"2-Isobutyl-4-methyl-1,3-dioxolane",EFSA CEF,2012,2125,Not determined
2-Isobutyl-4-methylthiazole,EFSA AFC,2008,2238,Not determined
2-Isobutyl-4-methylthiazole,EFSA CEF,2009,2009,Not determined
2-Isobutyl-4-methylthiazole,EFSA CEF,2011,2083,Not determined
2-Isobutyl-4-methylthiazole,EFSA CEF,2012,2119,Not determined
2-Isobutyl-4-methylthiazole,EFSA CEF,2013,2378,Not determined
2-Isobutyl-4-methylthiazole,EFSA CEF,2015,2634,Ambiguous
"2-Isobutyldihydro-4,6-dimethyl-1,3,5-dithiazine",EFSA CEF,2012,2119,Not determined
"2-Isobutyldihydro-4,6-dimethyl-1,3,5-dithiazine",EFSA CEF,2013,2378,Not determined
"2-Isobutyldihydro-4,6-dimethyl-1,3,5-dithiazine",EFSA CEF,2015,2634,Ambiguous
2-Isobutylpyridine,EFSA AFC,2009,2307,Negative
2-Isobutylpyridine,EFSA CEF,2011,2078,Negative
2-Isobutylpyridine,EFSA CEF,2014,2441,Not determined
2-Isobutylpyridine,EFSA CEF,2015,2600,Negative
2-Isobutylpyridine,EFSA CEF,2018,3044,Not determined
2-Isobutylthiazole,EFSA AFC,2008,2289,Not determined
2-Isobutylthiazole,EFSA CEF,2013,2381,Not determined
2-Isobutylthiazole,EFSA FEEDAP,2016,2819,Not determined
2-Isopropyl thioxanthone,EFSA AFC,2005,331,Negative
2-Isopropyl thioxanthone,EFSA AFC,2007,324,Negative
"2-Isopropyl- N,2,3-trimethylbutanamide",EFSA AFC,2008,2263,Negative
"2-Isopropyl- N,2,3-trimethylbutanamide",EFSA CEF,2011,2080,Negative
"2-Isopropyl- N,2,3-trimethylbutanamide",EFSA CEF,2015,2601,Negative
"2-Isopropyl-(3,5 or 6)-methoxypyrazine",EFSA AFC,2008,2242,Negative
"2-Isopropyl-(3,5 or 6)-methoxypyrazine",EFSA CEF,2011,2075,Negative
2-Isopropyl-3-methoxypyrazine,EFSA CEF,2011,2118,Not determined
2-Isopropyl-3-methylthiopyrazine,EFSA AFC,2006,2151,Negative
2-Isopropyl-3-methylthiopyrazine,EFSA CEF,2011,2074,Negative
2-Isopropyl-3-methylthiopyrazine,EFSA CEF,2011,2118,Not determined
2-Isopropyl-3-methylthiopyrazine,"EFSA CEF, EFSA AFC",2008,2278,Negative
"2-Isopropyl-4,5-dimethylthiazole",EFSA AFC,2008,2238,Not determined
"2-Isopropyl-4,5-dimethylthiazole",EFSA CEF,2009,2009,Not determined
"2-Isopropyl-4,5-dimethylthiazole",EFSA CEF,2011,2083,Not determined
"2-Isopropyl-4,5-dimethylthiazole",EFSA CEF,2012,2119,Not determined
"2-Isopropyl-4,5-dimethylthiazole",EFSA CEF,2013,2378,Not determined
"2-Isopropyl-4,5-dimethylthiazole",EFSA CEF,2015,2634,Ambiguous
2-Isopropyl-4-methylthiazole,EFSA AFC,2008,2289,Not determined
2-Isopropyl-4-methylthiazole,EFSA CEF,2013,2381,Not determined
2-Isopropyl-4-methylthiazole,EFSA FEEDAP,2016,2819,Not determined
2-Isopropyl-4-methylthiazole,EFSA FEEDAP,2020,3818,Negative
2-Isopropyl-5-methylhex-2-enal,EFSA CEF,2009,2026,Ambiguous
2-Isopropyl-5-methylhex-2-enal,EFSA CEF,2012,2136,Ambiguous
2-Isopropyl-5-methylhex-2-enal,EFSA CEF,2018,3156,Negative
2-Isopropyl-5-methylhex-2-enal,EFSA FAF,2020,3500,Negative
2-Isopropyl-5-methylphenyl acetate,EFSA AFC,2007,2236,Not determined
2-Isopropyl-5-methylphenyl acetate,EFSA CEF,2011,2084,Not determined
2-Isopropyl-5-methylphenyl formate,EFSA AFC,2007,2236,Not determined
2-Isopropyl-5-methylphenyl formate,EFSA CEF,2011,2084,Not determined
2-Isopropyl-5-methylpyrazine,EFSA AFC,2008,2242,Negative
2-Isopropyl-5-methylpyrazine,EFSA CEF,2011,2075,Negative
2-Isopropylphenol,EFSA AFC,2008,2254,Not determined
2-Isopropylpyridine,EFSA AFC,2006,2233,Not determined
2-Isopropylpyridine,EFSA AFC,2008,2270,Not determined
2-Isopropylpyridine,EFSA CEF,2013,2380,Not determined
2-Mercapto-2-methylpentan-1-ol,EFSA AFC,2009,2319,Ambiguous
2-Mercapto-2-methylpentan-1-ol,EFSA CEF,2011,2066,Ambiguous
2-Mercapto-2-methylpentan-1-ol,EFSA CEF,2011,2120,Ambiguous
2-Mercapto-2-methylpentan-1-ol,EFSA CEF,2014,2499,Not determined
2-Mercapto-2-methylpentan-1-ol,EFSA CEF,2018,3043,Not determined
2-Mercapto-2-methylpentan-1-ol,EFSA FAF,2020,3641,Negative
2-Mercapto-4-heptanol,EFSA CEF,2012,2117,Not determined
2-Mercapto-4-heptanol,EFSA CEF,2012,2141,Not determined
2-Mercaptoanisole,EFSA CEF,2010,2042,Not determined
2-Mercaptoanisole,EFSA CEF,2011,2121,Not determined
2-Mercaptoanisole,EFSA CEF,2014,2496,Negative
2-Mercaptothiophene,EFSA AFC,2008,2289,Not determined
2-Mercaptothiophene,EFSA CEF,2013,2381,Not determined
2-Methoxy-3-methylpyrazine,EFSA CEF,2011,2118,Not determined
2-Methoxy-3-methylpyrazine,EFSA FEEDAP,2017,2919,Not determined
2-Methoxy-3-propylpyrazine,EFSA AFC,2006,2151,Negative
2-Methoxy-3-propylpyrazine,EFSA CEF,2011,2074,Negative
2-Methoxy-3-propylpyrazine,EFSA CEF,2011,2118,Not determined
2-Methoxy-3-propylpyrazine,"EFSA CEF, EFSA AFC",2008,2278,Negative
2-Methoxy-4-(prop-1-enyl)phenyl 3-methylbutyrate,EFSA CEF,2010,2063,Negative
2-Methoxy-4-(prop-1-enyl)phenyl 3-methylbutyrate,EFSA CEF,2011,2085,Not determined
2-Methoxy-4-(prop-1-enyl)phenyl acetate,EFSA CEF,2010,2073,Negative
2-Methoxy-4-(trifluoromethyl)-3-pyridinesulfonic acid,EFSA,2013,2217,Negative
2-Methoxy-4-(trifluoromethyl)pyridine-3-sulfonamide,EFSA,2013,2217,Negative
2-Methoxy-4-methylphenol,EFSA AFC,2008,2254,Not determined
2-Methoxy-4-propylphenol,EFSA AFC,2008,2254,Not determined
2-Methoxy-4-vinylphenol,EFSA AFC,2008,2254,Not determined
2-Methoxy-6-(2-propenyl)phenol,EFSA AFC,2009,2311,Not determined
2-Methoxy-acetophenone,EFSA AFC,2008,2276,Not determined
2-Methoxy-acetophenone,EFSA CEF,2009,2008,Not determined
2-Methoxybenzaldehyde,EFSA AFC,2006,2154,Negative
2-Methoxybenzaldehyde,EFSA AFC,2009,2313,Negative
2-Methoxybenzaldehyde,EFSA CEF,2010,2053,Negative
2-Methoxybenzaldehyde,EFSA CEF,2011,2101,Negative
2-Methoxybenzaldehyde,EFSA CEF,2012,2167,Negative
2-Methoxybenzaldehyde,EFSA FEEDAP,2012,607,Not determined
2-Methoxycinnamaldehyde,EFSA CEF,2009,2015,Not determined
2-Methoxycinnamaldehyde,EFSA CEF,2009,2293,Negative
2-Methoxycinnamyl acetate,EFSA CEF,2009,2293,Negative
2-Methoxycinnamyl acetate,EFSA CEF,2011,2034,Not determined
2-Methoxyethyl benzene,EFSA AFC,2008,2245,Negative
2-Methoxyethyl benzene,EFSA CEF,2011,2097,Not determined
2-Methoxyethyl benzene,EFSA FEEDAP,2012,155,Negative
2-Methoxynaphthalene,EFSA AFC,2008,2245,Negative
2-Methoxynaphthalene,EFSA CEF,2011,2097,Negative
2-Methoxynaphthalene,EFSA FEEDAP,2012,155,Negative
2-Methoxynaphthalene,EFSA FEEDAP,2020,3818,Negative
2-Methoxyphenol,EFSA AFC,2008,2254,Not determined
2-Methoxyphenyl acetate,EFSA AFC,2008,2254,Not determined
"2-Methyl-1,1-di-isopentyloxypropane",EFSA AFC,2008,2246,Negative
"2-Methyl-1,1-di-isopentyloxypropane",EFSA CEF,2011,2109,Negative
2-Methyl-1-phenyl-2-propyl formate,EFSA CEF,2009,2016,Negative
2-Methyl-1-phenylpropan-2-ol,EFSA CEF,2009,2016,Negative
2-Methyl-1-phenylpropan-2-ol,EFSA FEEDAP,2012,2155,No data
2-Methyl-1-phenylpropan-2-ol,EFSA FEEDAP,2020,3818,Negative
2-Methyl-2-(methyldithio)propanal,EFSA FEEDAP,2013,2224,No data
2-Methyl-2-butenoic acid,EFSA CEF,2010,2048,Not determined
2-Methyl-2-butenoic acid,EFSA FAF,2019,3267,Negative
2-Methyl-2-pentenoic acid,EFSA CEF,2010,2050,Negative
2-Methyl-2-pentenoic acid,EFSA CEF,2013,2375,Negative
2-Methyl-2-pentenoic acid,EFSA FEEDAP,2016,2841,Not determined
2-Methyl-2-thiazoline,EFSA AFC,2008,2238,Ambiguous
2-Methyl-2-thiazoline,EFSA CEF,2009,2009,Ambiguous
2-Methyl-2-thiazoline,EFSA CEF,2011,2083,Ambiguous
2-Methyl-2-thiazoline,EFSA CEF,2012,2119,Positive
2-Methyl-2-thiazoline,EFSA CEF,2013,2378,Negative
2-Methyl-2-thiazoline,EFSA CEF,2015,2634,Ambiguous
"2-Methyl-3,5 and 6-(furfurylthio)pyrazine",EFSA CEF,2010,2054,Not determined
"2-Methyl-3,5 and 6-(furfurylthio)pyrazine",EFSA CEF,2015,2620,Not determined
"2-Methyl-3,5 or 6-ethoxypyrazine",EFSA AFC,2008,2242,Negative
"2-Methyl-3,5 or 6-ethoxypyrazine",EFSA CEF,2011,2075,Negative
"2-Methyl-3,5 or 6-methylthiopyrazine",EFSA AFC,2008,2242,Negative
"2-Methyl-3,5 or 6-methylthiopyrazine",EFSA CEF,2011,2075,Negative
2-Methyl-3-(methylthio)furan,EFSA CEF,2010,2054,Not determined
2-Methyl-3-(methylthio)furan,EFSA CEF,2015,2620,Not determined
2-Methyl-3-(p-tolyl)propionaldehyde,EFSA AFC,2008,2244,Not determined
2-Methyl-3-furyl thioacetate,EFSA CEF,2010,2054,Not determined
2-Methyl-3-furyl thioacetate,EFSA CEF,2015,2620,Not determined
2-Methyl-3-mercaptothiophene,EFSA AFC,2008,2238,Not determined
2-Methyl-3-mercaptothiophene,EFSA CEF,2009,2009,Not determined
2-Methyl-3-mercaptothiophene,EFSA CEF,2011,2083,Not determined
2-Methyl-3-mercaptothiophene,EFSA CEF,2012,2119,Not determined
2-Methyl-3-mercaptothiophene,EFSA CEF,2013,2378,Not determined
2-Methyl-3-mercaptothiophene,EFSA CEF,2015,2634,Ambiguous
2-Methyl-3-methylthiopyrazine,EFSA CEF,2011,2118,Not determined
2-Methyl-3-propylpyrazine,EFSA AFC,2006,2151,Negative
2-Methyl-3-propylpyrazine,EFSA CEF,2011,2074,Negative
2-Methyl-3-propylpyrazine,EFSA CEF,2011,2118,Not determined
2-Methyl-3-propylpyrazine,"EFSA CEF, EFSA AFC",2008,2278,Negative
2-Methyl-3-thioacetoxytetrahydrofuran,EFSA AFC,2008,2297,Not determined
"2-Methyl-4,5-benzothiazole",EFSA AFC,2008,2238,Not determined
"2-Methyl-4,5-benzothiazole",EFSA CEF,2009,2009,Not determined
"2-Methyl-4,5-benzothiazole",EFSA CEF,2011,2083,Not determined
"2-Methyl-4,5-benzothiazole",EFSA CEF,2012,2119,Not determined
2-Methyl-4-isothiazolin-3-one,EFSA AFC,2007,325,Negative
2-Methyl-4-phenylbutan-2-ol,EFSA CEF,2009,2016,Not determined
2-Methyl-4-phenylbutyraldehyde,EFSA AFC,2008,2244,Not determined
"2-Methyl-4-propyl-1,3-oxathiane",EFSA AFC,2009,2318,Not determined
"2-Methyl-4-propyl-1,3-oxathiane",EFSA CEF,2010,2007,Not determined
"2-Methyl-4-propyl-1,3-oxathiane",EFSA CEF,2010,2056,Not determined
"2-Methyl-4-propyl-1,3-oxathiane",EFSA CEF,2011,2082,Not determined
"2-Methyl-4-propyl-1,3-oxathiane",EFSA FEEDAP,2013,2224,No data
2-Methyl-5-(methylthio)furan,EFSA CEF,2010,2054,Not determined
2-Methyl-5-(methylthio)furan,EFSA CEF,2015,2620,Not determined
2-Methyl-5-methoxythiazole,EFSA AFC,2008,2289,Not determined
2-Methyl-5-methoxythiazole,EFSA CEF,2011,2078,Negative
2-Methyl-5-methoxythiazole,EFSA CEF,2013,2381,Not determined
2-Methyl-5-propionylfuran,EFSA CEF,2011,2110,Ambiguous
2-Methyl-acetophenone,EFSA AFC,2008,2276,Not determined
2-Methyl-acetophenone,EFSA CEF,2009,2008,Not determined
2-Methylallyl butyrate,EFSA CEF,2009,2026,Ambiguous
2-Methylallyl butyrate,EFSA CEF,2012,2136,Ambiguous
2-Methylbenzene-1-thiol,EFSA CEF,2010,2042,No data
2-Methylbenzene-1-thiol,EFSA FEEDAP,2013,2224,No data
2-Methylbenzyl acetate,EFSA AFC,2008,2281,Negative
2-Methylbenzyl acetate,EFSA CEF,2009,2011,Negative
2-Methylbenzyl acetate,EFSA CEF,2011,2078,Negative
2-Methylbut-(2E)-en-1-ol,EFSA CEF,2009,2026,Ambiguous
2-Methylbut-(2E)-en-1-ol,EFSA CEF,2012,2136,Ambiguous
2-Methylbut-(2E)-en-1-ol,EFSA CEF,2018,3156,Negative
2-Methylbut-(2E)-en-1-ol,EFSA FAF,2020,3500,Negative
2-Methylbut-3-en-1-ol,EFSA AFC,2004,2025,Negative
2-Methylbut-3-en-1-ol,EFSA AFC,2008,2240,Negative
2-Methylbut-3-en-1-ol,EFSA CEF,2011,2068,Negative
2-Methylbut-3-en-1-ol,EFSA CEF,2011,2114,Negative
2-Methylbut-3-en-1-ol,EFSA CEF,2013,2180,Negative
2-Methylbut-3-en-2-ol,EFSA AFC,2006,2232,Negative
2-Methylbut-3-en-2-ol,EFSA AFC,2009,2314,Negative
2-Methylbut-3-en-2-ol,EFSA CEF,2011,2071,Negative
2-Methylbut-3-en-2-ol,EFSA CEF,2015,2656,Negative
"2-Methylbuta-1,3-diene",EFSA AFC,2008,2299,Positive
2-Methylbutan-1-ol,EFSA CEF,2010,2050,Negative
2-Methylbutan-1-ol,EFSA CEF,2013,2375,Negative
2-Methylbutan-2-ol,EFSA AFC,2006,2232,Negative
2-Methylbutan-2-ol,EFSA AFC,2009,2314,Negative
2-Methylbutan-2-ol,EFSA CEF,2011,2071,Negative
2-Methylbutan-2-ol,EFSA CEF,2015,2656,Negative
2-Methylbutane-2-thiol,EFSA AFC,2009,2318,Ambiguous
2-Methylbutane-2-thiol,EFSA CEF,2010,2007,Ambiguous
2-Methylbutane-2-thiol,EFSA CEF,2010,2056,Ambiguous
2-Methylbutane-2-thiol,EFSA CEF,2011,2082,Ambiguous
2-Methylbutane-2-thiol,EFSA CEF,2012,2117,Ambiguous
2-Methylbutane-2-thiol,EFSA CEF,2012,2141,Ambiguous
2-Methylbutyl 2-hydroxybenzoate,EFSA AFC,2006,2154,Negative
2-Methylbutyl 2-hydroxybenzoate,EFSA AFC,2009,2313,Negative
2-Methylbutyl 2-hydroxybenzoate,EFSA CEF,2010,2053,Negative
2-Methylbutyl 2-hydroxybenzoate,EFSA CEF,2011,2101,Negative
2-Methylbutyl 2-hydroxybenzoate,EFSA CEF,2012,2167,Negative
2-Methylbutyl acetate,EFSA FEEDAP,2012,615,No data
2-Methylbutyl acetate,EFSA FEEDAP,2020,3818,Negative
2-Methylbutyl butyrate,EFSA AFC,2008,2252,Not determined
2-Methylbutyl butyrate,EFSA FEEDAP,2012,615,No data
2-Methylbutyl decanoate,EFSA AFC,2008,2252,Not determined
2-Methylbutyl dodecanoate,EFSA AFC,2008,2252,Not determined
2-Methylbutyl formate,EFSA AFC,2008,2252,Not determined
2-Methylbutyl hexanoate,EFSA AFC,2008,2252,Not determined
2-Methylbutyl isobutyrate,EFSA AFC,2008,2241,Not determined
2-Methylbutyl isobutyrate,EFSA CEF,2010,2067,Not determined
2-Methylbutyl isovalerate,EFSA FEEDAP,2012,615,No data
2-Methylbutyl octanoate,EFSA AFC,2008,2252,Not determined
2-Methylbutyl propionate,EFSA AFC,2008,2252,Not determined
2-Methylbutyl tetradecanoate,EFSA AFC,2008,2252,Not determined
2-Methylbutyl-3-methyl-2-butenoate,EFSA AFC,2008,2247,Not determined
2-Methylbutyl-3-methyl-2-butenoate,EFSA CEF,2010,2048,Not determined
2-Methylbutyl-3-methyl-2-butenoate,EFSA FAF,2019,3267,Negative
2-Methylbutylamine,EFSA AFC,2008,2263,Not determined
2-Methylbutylamine,EFSA CEF,2011,2080,Not determined
2-Methylbutylamine,EFSA CEF,2015,2601,Not determined
2-Methylbutyraldehyde,EFSA FEEDAP,2012,615,No data
2-Methylbutyric acid,EFSA FEEDAP,2012,615,No data
2-Methylcyclohexanone,EFSA AFC,2008,2283,Not determined
2-Methylcyclohexanone,EFSA CEF,2012,2128,Not determined
2-Methylcyclohexanone,EFSA CEF,2016,2733,Negative
2-Methyldecanal,EFSA AFC,2008,2241,Not determined
2-Methyldecanal,EFSA CEF,2010,2067,Not determined
2-Methylfuran,EFSA CEF,2010,2052,Ambiguous
2-Methylfuran,EFSA CEF,2011,2112,Ambiguous
2-Methylfuran-3-thiol,EFSA CEF,2010,2051,Not determined
2-Methylfuran-3-thiol,EFSA CEF,2010,2054,Not determined
2-Methylfuran-3-thiol,EFSA CEF,2015,2620,Not determined
2-Methylfuran-3-thiol,EFSA FEEDAP,2016,2768,Not determined
2-Methylheptan-3-one,EFSA AFC,2008,2250,Negative
2-Methylheptan-3-one,EFSA CEF,2012,2144,Not determined
2-Methylheptan-3-one,EFSA CEF,2013,2219,Not determined
2-Methylheptan-3-one,EFSA CEF,2017,2903,Negative
2-Methylheptanoic acid,EFSA CEF,2010,2050,Negative
2-Methylheptanoic acid,EFSA CEF,2013,2375,Negative
2-Methylheptanoic acid,EFSA FEEDAP,2012,615,Not determined
2-Methylhexan-3-ol,EFSA AFC,2005,2060,Negative
2-Methylhexan-3-ol,EFSA AFC,2008,2255,Negative
2-Methylhexan-3-ol,EFSA CEF,2009,2006,Negative
2-Methylhexan-3-ol,EFSA CEF,2010,2069,Negative
2-Methylhexan-3-ol,EFSA CEF,2012,2143,Negative
2-Methylhexan-3-ol,EFSA CEF,2017,2914,Negative
2-Methylhexanal,EFSA AFC,2008,2241,Not determined
2-Methylhexanal,EFSA CEF,2010,2067,Not determined
2-Methylindole,EFSA AFC,2006,2233,Negative
2-Methylindole,EFSA AFC,2008,2270,Negative
2-Methylindole,EFSA CEF,2013,2380,Negative
2-Methylnaphthalene,EFSA AFC,2008,2299,Not determined
2-Methylnaphthalene,EFSA CEF,2010,2039,Not determined
2-Methylnaphthalene,EFSA CEF,2011,2102,Not determined
2-Methyloct-(2E)-enal,EFSA CEF,2009,2026,Ambiguous
2-Methyloct-(2E)-enal,EFSA CEF,2012,2136,Ambiguous
2-Methyloct-(2E)-enal,EFSA CEF,2018,3156,Negative
2-Methyloct-(2E)-enal,EFSA FAF,2020,3500,Negative
2-Methyloctan-1-ol,EFSA AFC,2008,2252,Not determined
2-Methylpent-(2E)-enal,EFSA CEF,2009,2026,Ambiguous
2-Methylpent-(2E)-enal,EFSA CEF,2012,2136,Ambiguous
2-Methylpent-(2E)-enal,EFSA CEF,2018,3156,Negative
2-Methylpent-(2E)-enal,EFSA FAF,2020,3500,Negative
2-Methylpentan-2-ol,EFSA AFC,2006,2232,Negative
2-Methylpentan-2-ol,EFSA AFC,2009,2314,Negative
2-Methylpentan-2-ol,EFSA CEF,2011,2071,Negative
2-Methylpentan-2-ol,EFSA CEF,2015,2656,Negative
2-Methylphenol,EFSA AFC,2008,2254,Not determined
2-Methylpiperidine,EFSA AFC,2008,2263,Not determined
2-Methylpiperidine,EFSA CEF,2011,2080,Not determined
2-Methylpiperidine,EFSA CEF,2015,2601,Not determined
2-Methylpropan-2-ol,EFSA AFC,2006,2232,Negative
2-Methylpropan-2-ol,EFSA AFC,2009,2314,Negative
2-Methylpropan-2-ol,EFSA CEF,2011,2071,Negative
2-Methylpropan-2-ol,EFSA CEF,2015,2656,Negative
2-Methylpropanal,EFSA FEEDAP,2012,615,No data
2-Methylpropane-1-thiol,EFSA FEEDAP,2013,2224,No data
2-Methylpropane-2-thiol,EFSA AFC,2009,2318,Ambiguous
2-Methylpropane-2-thiol,EFSA CEF,2010,2007,Ambiguous
2-Methylpropane-2-thiol,EFSA CEF,2010,2056,Ambiguous
2-Methylpropane-2-thiol,EFSA CEF,2011,2082,Ambiguous
2-Methylpropane-2-thiol,EFSA CEF,2012,2117,Ambiguous
2-Methylpropane-2-thiol,EFSA CEF,2012,2141,Ambiguous
2-Methylpropionic acid,EFSA FEEDAP,2012,615,No data
2-Methylpropionic acid,EFSA FEEDAP,2020,3818,Negative
2-Methylpyrazine,EFSA AFC,2008,2242,Negative
2-Methylpyrazine,EFSA CEF,2011,2075,Negative
2-Methylpyrazine,EFSA FEEDAP,2017,2919,Not determined
2-Methylpyridine,EFSA AFC,2006,2233,Negative
2-Methylpyridine,EFSA AFC,2008,2270,Negative
2-Methylpyridine,EFSA CEF,2013,2380,Negative
