Substance,has,Component,CASNumber,ECRefNo,MolecularFormula,smiles
Bromadiolone,as such,Bromadiolone,28772-56-7,249-205-9,C30H23BrO4,C1=CC=C(C=C1)C(CC(C2=CC=C(C=C2)C3=CC=C(C=C3)Br)O)C4=C(C5=CC=CC=C5OC4=O)O
Brominated phenols and their derivatives,part of group assessment,"2,4,6-tribromophenol",118-79-6,204-278-6,C6H3Br3O,OC1=C(Br)C=C(Br)C=C1Br
Brominated phenols and their derivatives,part of group assessment,"2,4,6-tribromophenol allyl ether",3278-89-5,221-913-2,C9H7Br3O,C=CCOC1=C(C=C(C=C1Br)Br)Br
Brominated phenols and their derivatives,part of group assessment,"2,4-Dibromophenol",615-58-7,210-436-5,C6H4Br2O,C1=C(Br)C=CC(=C1Br)O
Brominated phenols and their derivatives,part of group assessment,"3-(tetrabromopentadecyl)-2,4,6-tribromophenol",168434-45-5,,,
Brominated phenols and their derivatives,part of group assessment,Pentabromophenol allyl ether,3555-11-01,,C9H5Br5O,Brc1c(OCC=C)c(Br)c(Br)c(Br)c1Br
Brominated phenols and their derivatives,part of group assessment,Pentrabromophenol,608-71-9,210-167-3,C6Br5OH,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)O
Brominated phenols and their derivatives,part of group assessment,Tetrabromobisphenol A,79-94-7,201-236-9,C15H12Br4O2,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br
Brominated phenols and their derivatives,part of group assessment,Tetrabromobisphenol S,39635-79-5,254-551-9,C12H6Br4O4S,C1=C(C=C(C(=C1Br)O)Br)S(=O)(=O)C2=CC(=C(C(=C2)Br)O)Br
Brominated phenols and their derivatives,part of group assessment,"Tetrabromobisphenol S bis(2,3-dibromopropyl ether)",42757-55-1,255-929-6,C18H14Br8O4S,C1=C(C=C(C(=C1Br)OCC(CBr)Br)Br)S(=O)(=O)C2=CC(=C(C(=C2)Br)OCC(CBr)Br)Br
Brominated phenols and their derivatives,part of group assessment,Tetrabromobisphenol S bismethyl ether,70156-79-5,,,COc1c(Br)cc(cc1Br)S(=O)(=O)c1cc(Br)c(OC)c(Br)c1
Brominated phenols and their derivatives,part of group assessment,"Tribromophenol 2,3-dibromopropyl ether",35109-60-5,252-372-0,C9H7Br5O,C1=C(C=C(C(=C1Br)OCC(CBr)Br)Br)Br
Bromomethane,as such,Bromomethane,74-83-9,200-813-2,CH3Br,CBr
Bromoxynil,as such,Bromoxynil,1689-84-5,216-882-7,C7H3Br2NO,C1=C(C=C(C(=C1Br)O)Br)C#N
Bromoxynil butyrate,as such,Bromoxynil butyrate,3861-41-4,223-374-9,C11H9Br2NO2,CCCC(=O)OC1=C(C=C(C=C1Br)C#N)Br
Bromoxynil heptanoate,as such,Bromoxynil heptanoate,56634-95-8,260-300-4,C14H15Br2NO2,CCCCCCC(=O)OC1=C(C=C(C=C1Br)C#N)Br
Bromoxynil octanoate,as such,Bromoxynil octanoate,1689-99-2,216-885-3,C15H17Br2NO2,Brc1cc(cc(Br)c1OC(=O)CCCCCCC)C#N
Bromuconazole,as such,Bromuconazole,,,,
Brown FK (E154),part of,"Disodium 4,4'-(2,4-diamino-1,3-phenylenebisazo)dibenzenesulphonate",14515-08-3,238-519-1,C18H14N6Na2O6S2,C1=CC(=CC=C1N=NC2=C(C(=C(C=C2)N)N=NC3=CC=C(C=C3)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Brown FK (E154),part of,"Disodium 4,4'-(2,4-diamino-5-methyl-1,3-phenylenebisazo)dibenzenesulphonate",16423-67-9,240-473-2,C19H16N6Na2O6S2,CC1=CC(=C(C(=C1N)N=NC2=CC=C(C=C2)S(=O)(=O)[O-])N)N=NC3=CC=C(C=C3)S(=O)(=O)[O-].[Na+].[Na+]
Brown FK (E154),part of,"Disodium 4,4'-(4,6-diamino-1,3-phenylenebisazo)dibenzenesulphonate",16386-21-3,240-435-5,C18H14N6Na2O6S2,C1=CC(=CC=C1N=NC2=CC(=C(C=C2N)N)N=NC3=CC=C(C=C3)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+]
Brown FK (E154),part of,"Sodium 4-(2,4-diaminophenylazo)benzenesulphonate",10190-66-6,233-460-8,C12H11N4NaO3S,C1=CC(=CC=C1N=NC2=C(C=C(C=C2)N)N)S(=O)(=O)[O-].[Na+]
Brown FK (E154),part of,"Sodium 4-(4,6-diamino-m-tolylazo)benzenesulphonate",6300-61-4,228-590-7,C13H13N4NaO3S,CC1=CC(=C(C=C1N)N)N=NC2=CC=C(C=C2)S(=O)(=O)[O-].[Na+]
Brown FK (E154),part of,"Trisodium 4,4',4""-(2,4-diaminobenzene-1,3,5-trisazo)tribenzenesulphonate",16386-22-4,240-436-0,C24H17N8Na3O9S3,C1=CC(=CC=C1N=NC2=CC(=C(C(=C2N)N=NC3=CC=C(C=C3)S(=O)(=O)[O-])N)N=NC4=CC=C(C=C4)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+]
Brown HT,as such,Brown HT,4553-89-3,224-924-0,C27H18N4Na2O9S2,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N/N=C/3\C=C(C(=O)/C(=N\NC4=CC=C(C5=CC=CC=C54)S(=O)(=O)[O-])/C3=O)CO.[Na+].[Na+]
Bupirimate,as such,Bupirimate,41483-43-6,255-391-2,C13H24N4O3S,O=S(OC1=C(CCCC)C(C)=NC(NCC)=N1)(N(C)C)=O
Buprofezin,as such,Buprofezin,69327-76-0,614-948-3,C16H23N3OS,CC(C)N1C(=NC(C)(C)C)SCN(C1=O)C2=CC=CC=C2
But-2-enoic acid (cis and trans),as such,But-2-enoic acid (cis and trans),3724-65-0,223-077-4,C4H6O2,CC=CC(=O)O
But-3-en-2-ol,as such,But-3-en-2-ol,598-32-3,209-929-8,C4H8O,CC(O)C=C
Butan-2-one,as such,Butan-2-one,78-93-3,201-159-0,C4H8O,CCC(=O)C
"Butane-1,3-diol",as such,"Butane-1,3-diol",107-88-0,203-529-7,C4H10O2,CC(CCO)O
"Butane-1,4-dithiol",as such,"Butane-1,4-dithiol",1191-08-8,214-728-3,C4H10S2,SCCCCS
"Butane-2,3-diol",as such,"Butane-2,3-diol",513-85-9,208-173-6,,CC(C(C)O)O
"Butane-2,3-dithiol",as such,"Butane-2,3-dithiol",4532-64-3,224-870-8,C4H10S2,SC(C(S)C)C
Butane-2-thiol,as such,Butane-2-thiol,513-53-1,208-165-2,C4H10S,SC(CC)C
Butter Yellow,as such,Butter Yellow,60-11-7,,,
Butyl 2-furoate,as such,Butyl 2-furoate,583-33-5,,C9H12O3,CCCCOC(=O)C1=CC=CO1
Butyl 2-methylbut-2(cis)-enoate,as such,Butyl 2-methylbut-2(cis)-enoate,7785-64-0,232-084-1,C9H16O2,CCCCOC(=O)/C(=C\C)/C
Butyl 2-methylbutyrate,as such,Butyl 2-methylbutyrate,15706-73-7,239-798-2,C9H18O2,O=C(C(C)CC)OCCCC
Butyl 4-hydroxybenzoate,as such,Butyl 4-hydroxybenzoate,94-26-8,202-318-7,C11H14O3,CCCCOC(=O)C1=CC=C(C=C1)O
Butyl Methacrylate,as such,Butyl methacrylate,97-88-1,202-615-1,C8H14O2,CCCCOC(=O)C(=C)C
Butyl acetate,as such,Butyl acetate,123-86-4,204-658-1,C6H12O2,CC(=O)OCCCC
Butyl anthranilate,as such,Butyl anthranilate,7756-96-9,231-816-7,C11H15NO2,C(=O)(OCCCC)c1ccccc1N
Butyl benzoate,as such,Butyl benzoate,136-60-7,205-252-7,C11H14O2,O=C(OCCCC)C1=CC=CC=C1
Butyl but-(2E)-enoate,as such,Butyl but-(2E)-enoate,591-63-9,,C8H14O2,O=C(\C=C\C)OCCCC
Butyl cinnamate,as such,Butyl cinnamate,538-65-8,208-699-6,C13H16O2,CCCCOC(=O)\C=C\c1ccccc1
Butyl dec-2-enoate,as such,Butyl dec-2-enoate,7492-45-7,,,CCCCCCCC=CC(=O)OCCCC
"Butyl deca-2,4-dienoate",as such,"Butyl deca-2,4-dienoate",28369-24-6,248-994-7,C14H24O2,CCCCC\C=C/C=C/C(=O)OCCCC
Butyl decanoate,as such,Butyl decanoate,30673-36-0,250-280-5,C14H28O2,CCCCCCCCCC(=O)OCCCC
Butyl ethyl disulfide,as such,Butyl ethyl disulfide,63986-03-8,,C6H14S2,CCCCSSCC
Butyl hex-(3E)-enoate,as such,Butyl hex-(3E)-enoate,118869-62-8,,C10H18O2,O=C(C\C=C\CC)OCCCC
Butyl hex-2-enoate,as such,Butyl hex-2-enoate,13416-74-5,,C10H18O2,CCCCOC(=O)C=CCCC
Butyl hexadecanoate,as such,Butyl hexadecanoate,111-06-8,203-829-8,C20H40O2,CCCCCCCCCCCCCCCC(=O)OCCCC
Butyl isovalerate,as such,Butyl isovalerate,109-19-3,203-654-7,C9H18O2,CCCCOC(=O)CC(C)C
Butyl lactate,as such,Butyl lactate,138-22-7,205-316-4,C7H14O3,CCCCOC(=O)C(C)O
Butyl nonanoate,as such,Butyl nonanoate,50623-57-9,256-661-2,C13H26O2,CCCCCCCCC(=O)OCCCC
Butyl oct-2-enoate,as such,Butyl oct-2-enoate,57403-32-4,260-720-8,,CCCCCC=CC(=O)OCCCC
Butyl phenylacetate,as such,Butyl phenylacetate,122-43-0,204-543-6,C12H16O2,CCCCOC(=O)Cc1ccccc1
Butyl salicylate,as such,Butyl salicylate,2052-14-4,218-142-9,C11H14O3,CCCCOC(=O)c1ccccc1O
Butyl vanillyl ether,as such,Butyl vanillyl ether,82654-98-6,,C12H18O3,CCCCOCC1=CC(=C(C=C1)O)OC
Butyl-O-butyryllactate,as such,Butyl-O-butyryllactate,7492-70-8,231-326-3,C11H20O4,CCCCOC(=O)C(C)OC(=O)CCC
Butylamine,as such,Butylamine,109-73-9,203-699-2,C4H11N,CCCCN
Butylated hydroxyanisole,as such,Butylated hydroxyanisole,25013-16-5,246-563-8,C11H16O2,COC1=CC(=C(O)C=C1)C(C)(C)C.COC1=C(C=C(O)C=C1)C(C)(C)C
Butylated hydroxytoluene,as such,Butylated hydroxytoluene,128-37-0,204-881-4,C15H24O,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C
Butylbenzylphthalate,as such,Butylbenzylphthalate,85-68-7,201-622-7,C19H20O4,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2
Butyramide,as such,Butyramide,541-35-5,208-776-4,C4H9NO,CCCC(=O)N
"Butyro-1,4-lactone",as such,"Butyro-1,4-lactone",96-48-0,202-509-5,C4H6O2,C1CC(=O)OC1
Byakangelicin,as such,Byakangelicin,482-25-7,,C17H18O7,
Cadmium (total),not part of group assessment,Cadmium(II),,,,
Cadusafos,as such,Cadusafos,95465-99-9,,C10H23O2PS2,CCC(C)SP(=O)(OCC)SC(C)CC
Cadusafos formulation (Ruby 200CS),active ingredient,Cadusafos,95465-99-9,,C10H23O2PS2,CCC(C)SP(=O)(OCC)SC(C)CC
Caffeine,as such,Caffeine,58-08-2,200-362-1,C8H10N4O2,O=C1C2=C(N=CN2C)N(C(=O)N1C)C
Calcium (total),not part of group assessment,Calcium(II),14127-61-8,,Ca+2,[Ca+2]
Calcium D-pantothenate,as such,Calcium D-pantothenate,137-08-6,205-278-9,C18H32CaN2O10,CC(C)(CO)C(C(=O)NCCC(=O)[O-])O.CC(C)(CO)C(C(=O)NCCC(=O)[O-])O.[Ca+2]
Calcium L-5-methyltetrahydrofolate,as such,Calcium L-5-methyltetrahydrofolate,151533-22-1,,C20H23CaN7O6,CN1[C@H](CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Ca+2]
Calcium L-ascorbate dihydrate,as such,Calcium L-ascorbate dihydrate,5743-28-2,611-529-7,C12H14O12Ca·2H2O,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O.C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O.O.O.[Ca+2]
Calcium L-aspartate,as such,Calcium L-aspartate,21059-46-1,244-185-8,C4H5CaNO4,C([C@@H](C(=O)[O-])N)C(=O)[O-].[Ca+2]
Calcium L-lysinate,as such,Calcium L-lysinate,6150-68-1,228-160-9,C12H26CaN4O4,C(CCN)C[C@@H](C(=O)[O-])N.C(CCN)C[C@@H](C(=O)[O-])N.[Ca+2]
Calcium L-methionate,as such,Calcium L-methionate,7786-71-2,,C10H20CaN2O4S2,[Ca+2].[O-]C(=O)[C@@H](N)CCSC.[O-]C(=O)[C@@H](N)CCSC
Calcium L-pidolate,as such,Calcium L-pidolate,31377-05-6,250-602-4,2C5H7NO3.Ca,[Ca+2].[O-]C(=O)C1CCC(=O)N1.[O-]C(=O)C1CCC(=O)N1
Calcium L-threonate,as such,Calcium L-threonate,70753-61-6,,C8H14CaO10,C([C@@H]([C@H](C(=O)[O-])O)O)O.C([C@@H]([C@H](C(=O)[O-])O)O)O.[Ca+2]
Calcium acetate,as such,Calcium acetate,62-54-4,200-540-9,C4H6CaO4,CC(=O)[O-].CC(=O)[O-].[Ca+2]
Calcium alginate,monomer,Calcium alginate,9005-35-0,,C18 H24 Ca O19,[Ca+2].O=C([O-])[C@@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@@H](C(O)=O)[C@@H](O[C@@H]2O[C@H](C([O-])=O)[C@@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H]1O
Calcium amino acid chelate,as such,Calcium amino acid chelate,,,,
Calcium ascorbate,as such,Calcium ascorbate,5743-27-1,227-261-5,C12H14CaO12,C(C(C1C(=C(C(=O)O1)[O-])O)O)O.C(C(C1C(=C(C(=O)O1)[O-])O)O)O.[Ca+2]
Calcium ascorbate with a content of threonate,ca.,Calcium L-ascorbate dihydrate,5743-28-2,611-529-7,C12H14O12Ca·2H2O,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O.C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O.O.O.[Ca+2]
Calcium ascorbate with a content of threonate,ca.,Calcium L-threonate,70753-61-6,,C8H14CaO10,C([C@@H]([C@H](C(=O)[O-])O)O)O.C([C@@H]([C@H](C(=O)[O-])O)O)O.[Ca+2]
Calcium ascorbate with a content of threonate,ca.,Calcium carbonate,471-34-1,207-439-9,CCaO3,C(=O)([O-])[O-].[Ca+2]
Calcium benzoate,as such,Calcium benzoate,2090-05-3,218-235-4,C14H10CaO4,C1=C(C(=O)[O-])C=CC=C1.C2=C(C(=O)[O-])C=CC=C2.[Ca++]
"Calcium bis(glycinate-N,O)",as such,"Calcium bis(glycinate-N,O)",35947-07-0,252-809-5,C4H8CaN2O4,C(C(=O)[O-])N.C(C(=O)[O-])N.[Ca+2]
Calcium caprylate,as such,Calcium caprylate,6107-56-8,228-067-3,C16H30CaO4,CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Ca+2]
Calcium carbide,as such,Calcium carbide,75-20-7,200-848-3,CaC2,[C-]#[C-].[Ca+2]
Calcium carbonate,as such,Calcium carbonate,471-34-1,207-439-9,CCaO3,C(=O)([O-])[O-].[Ca+2]
Calcium chloride,as such,Calcium chloride,10043-52-4,233-140-8,CaCl2,[Cl-].[Cl-].[Ca+2]
Calcium chloride solution,part of,Calcium chloride,10043-52-4,233-140-8,CaCl2,[Cl-].[Cl-].[Ca+2]
Calcium citrate malate,as such,Calcium citrate malate,142606-53-9,,,C(C(C(=O)[O-])O)C(=O)[O-].C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Ca+2].[Ca+2].[Ca+2].[Ca+2]
Calcium di-L-glutamate,as such,Calcium di-L-glutamate,,,,
Calcium disodium EDTA,as such,Calcium disodium EDTA,62-33-9,200-529-9,C10H14CaN2O8,C(C[NH+](CC(=O)[O-])CC(=O)[O-])[NH+](CC(=O)[O-])CC(=O)[O-].[Ca+2]
Calcium ferrocyanide,as such,Calcium ferrocyanide,13821-08-4,237-508-9,C6FeN6.2Ca,[Fe+2].[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Ca+2].[C-]#N.[C-]#N.[Ca+2]
Calcium fluoride,as such,Calcium fluoride,7789-75-5,232-188-7,CaF2,[Ca](F)F
Calcium formate,as such,Calcium formate,544-17-2,208-863-7,C2H2CaO4,C(=O)[O-].C(=O)[O-].[Ca+2]
Calcium iodate,as such,Calcium iodate,7789-80-2,232-191-3,CaI2O6,[O-]I(=O)=O.[O-]I(=O)=O.[Ca+2]
Calcium lactate,as such,Calcium lactate,5743-48-6,227-266-2,C6H10CaO6,C(C(C)O)(O[Ca]OC(C(C)O)=O)=O
Calcium lignosulphonate (40-65),as such,Calcium lignosulphonate (40-65),,,,
Calcium lignosulphonate (low molecular weight fraction < 1000 Da),as such,Calcium lignosulphonate,8061-52-7,617-125-7,C20H24CaO10S2,COC1=CC=CC(=C1O)CC(CS(=O)(=O)[O-])OC2=C(C=C(C=C2)CCCS(=O)(=O)[O-])OC.[Ca+2
Calcium malate,as such,Calcium malate,17482-42-7,241-498-1,C4H4CaO5,C(C(C(=O)[O-])O)C(=O)[O-].[Ca+2]
Calcium phosphide,as such,Calcium phosphide,1305-99-3,215-142-0,,
Calcium phosphide formulation (Polytanol),active ingredient,Calcium phosphide,1305-99-3,215-142-0,,
Calcium phosphinate,as such,Calcium phosphinate,7789-79-9,232-190-8,CaO4P2,[O-]P=O.[O-]P=O.[Ca+2]
Calcium phosphoryl oligosaccharides,as such,Calcium phosphoryl oligosaccharides,,,,
Calcium propionate,as such,Calcium propionate,4075-81-4,223-795-8,C6H10CaO4,CCC(=O)[O-].CCC(=O)[O-].[Ca+2]
Calcium pyruvate,as such,Calcium pyruvate,52009-14-0,257-599-9,,CC(=O)C(=O)[O-].CC(=O)C(=O)[O-].[Ca+2]
Calcium salt of the hydroxy analogue of methionine,as such,Calcium salt of the hydroxy analogue of methionine,4857-44-7,225-455-4,C10H18CaO6S2,CSCCC(C(=O)[O-])O.CSCCC(C(=O)[O-])O.[Ca+2]
Calcium silicate,maybe part of,Calcium monosilicate,13983-17-0,237-772-5,CaSiO3,
Calcium silicate,maybe part of,Calcium orthosilicate,10034-77-2,233-107-8,Ca.1/2H4O4Si,
Calcium sorbate,as such,Calcium sorbate,7492-55-9,231-321-6,C12H14O4Ca,CC=CC=CC(=O)[O-].CC=CC=CC(=O)[O-].[Ca+2]
Calcium stearoyl-2-lactylate,as such,Calcium stearoyl-2-lactylate,5793-94-2,227-335-7,C48H86CaO12,CCCCCCCCCCCCCCCCCC(=O)OC(C)C(=O)OC(C)C(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)OC(C)C(=O)OC(C)C(=O)[O-].[Ca+2]
Calcium succinate,as such,Calcium succinate,140-99-8,205-445-6,C4H4CaO4,C(CC(=O)[O-])C(=O)[O-].[Ca+2]
Calcium sulphate,as such,Calcium sulphate,7778-18-9,231-900-3,CaO4S,[O-]S(=O)(=O)[O-].[Ca+2]
Calcium sulphate dihydrate,as such,Calcium sulphate dihydrate,10101-41-4,,CaH4O6S,O.O.[O-]S(=O)(=O)[O-].[Ca+2]
Calcium tartrate (E 354),as such,Calcium tartrate (E 354),3164-34-9,221-621-5,C4H6CaO6,[C@@H](O)([C@@H](O)C(O)=O)C(O)=O.[Ca++]
Camphechlor,ca.,Chlorinated bornadienes,,,,
Camphechlor,ca.,Chlorinated bornanes,,,,CC1(C2CCC1(C(C2)Cl)C)C
Camphechlor,ca.,Chlorinated bornenes,,,,
Camphechlor,ca.,Chlorinated hydrocarbons,75-09-2,200-838-9,CH2Cl2,C(Cl)Cl
Camphechlor,ca.,Non-chlorinated hydrocarbons,,,,
Camphene,as such,Camphene,79-92-5,201-234-8,C10H16,CC(C2=C)(C)C1CCC2C1
Camphor,as such,Camphor,76-22-2,200-945-0,C10H16O,CC1(C2CCC1(C(=O)C2)C)C
Camphor,part of,"(1R)-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-one",464-49-3,207-355-2,C10H16O,O=C1[C@@](CC2)(C)[C@@](C)(C)[C@H]2C1
Camphor,part of,l-Camphor,464-48-2,207-354-7,C10H16O,CC1(C2CCC1(C(=O)C2)C)C
Candelilla wax,as such,Candelilla wax,8006-44-8,232-347-0,,
Canthaxanth preparation (CAROPHYLL Red 10%),active ingredient,Canthaxanthin,514-78-3,208-187-2,C40H52O2,CC1=C(C(CCC1=O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C(=O)CCC2(C)C)C)\C)\C)/C)/C
Canthaxanth preparation (CAROPHYLL Red 10%),part of,Lignosulphonate,8062-15-5,617-129-9,,
Canthaxanthin,as such,Canthaxanthin,514-78-3,208-187-2,C40H52O2,CC1=C(C(CCC1=O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C(=O)CCC2(C)C)C)\C)\C)/C)/C
Caprolactone,as such,Caprolactone,502-44-3,207-938-1,C6H10O2,C1CCC(=O)OCC1
Capsanthin,as such,Capsanthin,465-42-9,207-364-1,C40H56O3,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC(=O)C2(CC(CC2(C)C)O)C)C)C
Capsorubin,as such,Capsorubin,470-38-2,207-425-2,C40H56O4,C/C(=C\C=C\C=C(\C=C\C=C(\C=C\C(=O)[C@]1(C(C[C@@H](C1)O)(C)C)C)/C)/C)/C=C/C=C(/C=C/C(=O)[C@]2(C(C[C@@H](C2)O)(C)C)C)\C
Captan,as such,Captan,133-06-2,205-087-0,C9H8Cl3NO2S,ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O
Captan epoxide,as such,Captan epoxide,2598-84-7,,C9H8Cl3NO3S,C1C2C(CC3C1O3)C(=O)N(C2=O)SC(Cl)(Cl)Cl
Captan epoxide,metabolite,Captan,133-06-2,205-087-0,C9H8Cl3NO2S,ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O
Captan formulation (83 WP),active ingredient,Captan,133-06-2,205-087-0,C9H8Cl3NO2S,ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O
Captan formulation (Merpan 80 WDG),active ingredient,Captan,133-06-2,205-087-0,C9H8Cl3NO2S,ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O
Caramel colours,part of group assessment,Class I Plain Caramel,,,,
Caramel colours,part of group assessment,Class II Caustic Sulphite Caramel,,,,
Caramel colours,part of group assessment,Class III Ammonia Caramel,8028-89-5,232-435-9,,
Caramel colours,part of group assessment,Class IV Sulphite Ammonia Caramel,,,,
Carbaryl,as such,Carbaryl,63-25-2,200-555-0,C12H11NO2,CNC(=O)Oc1cccc2ccccc12
Carbaryl formulation,active ingredient,Carbaryl,63-25-2,200-555-0,C12H11NO2,CNC(=O)Oc1cccc2ccccc12
Carbendazim,as such,Carbendazim,10605-21-7,234-232-0,C9H9N3O2,N(C(=O)OC)C1=Nc2ccccc2N1
Carbetamide,as such,Carbetamide,16118-49-3,240-286-6,C12H16N2O3,O=C(NCC)C(OC(NC1=CC=CC=C1)=O)C
Carbetamide formulation (FSG 01002 H),active ingredient,Carbetamide,16118-49-3,240-286-6,C12H16N2O3,O=C(NCC)C(OC(NC1=CC=CC=C1)=O)C
Carbofuran,as such,Carbofuran,1563-66-2,216-353-0,C12H15NO3,CNC(=O)Oc1cccc2CC(C)(C)Oc12
Carbofuran formulation (Furadan 5G),active ingredient,Carbofuran,1563-66-2,216-353-0,C12H15NO3,CNC(=O)Oc1cccc2CC(C)(C)Oc12
Carbon Black,as such,Carbon Black,1333-86-4,215-609-9,,
Carbosulfan,as such,Carbosulfan,55285-14-8,259-565-9,C20H32N2O3S,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2CC(C)(C)Oc12
Carbosulfan formulation (Marshal 25CS),active ingredient,Carbosulfan,55285-14-8,259-565-9,C20H32N2O3S,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2CC(C)(C)Oc12
Carboxin,as such,Carboxin,5234-68-4,226-031-1,C12H13NO2S,CC1=C(SCCO1)C(=O)Nc2ccccc2
Carboxin metabolite (P/V-54),as such,Carboxin metabolite (P/V-54),,,C6H9NO3S,CC=1OCCS(=O)C=1C(N)=O
Carboxin metabolite (P/V-54),metabolite,Carboxin,5234-68-4,226-031-1,C12H13NO2S,CC1=C(SCCO1)C(=O)Nc2ccccc2
Carfentrazone,as such,Carfentrazone,128621-72-7,,C13H10Cl2F3N3O3,C1=C(C(=CC(=C1N2N=C(N(C2=O)C(F)F)C)F)Cl)CC(Cl)C(=O)O
Carfentrazone,metabolite,Carfentrazone-ethyl,128639-02-1,603-291-8,C15H14Cl2F3N3O3,O=C2N(N=C(C)N2C(F)F)C1=CC(CC(Cl)C(OCC)=O)=C(Cl)C=C1F
Carfentrazone-ethyl,as such,Carfentrazone-ethyl,128639-02-1,603-291-8,C15H14Cl2F3N3O3,O=C2N(N=C(C)N2C(F)F)C1=CC(CC(Cl)C(OCC)=O)=C(Cl)C=C1F
Caribbean ciguatoxin 1,as such,Caribbean ciguatoxin 1,193363-37-0,,C62H92O19,C[C@@H]1C[C@H]2[C@@H](C[C@H]3[C@H](O2)C[C@@H]([C@]4([C@H](O3)C[C@]5([C@H](O4)CC[C@H]6[C@](O5)(CC[C@](O6)(CO)O)C)C)C)O)O[C@H]7C[C@@H]8[C@]([C@@H](C[C@@H]9[C@@H](O8)C/C=C/C[C@@H]2[C@@H](O9)/C=C\C[C@@H]3[C@@H](O2)C=C[C@@H]2[C@@H](O3)C[C@@H]3[C@@H](O2)C[C@@H]
Caribbean ciguatoxin 2,as such,Caribbean ciguatoxin 2,,,C62H92O19,C[C@@H]1C[C@H]2[C@@H](C[C@H]3[C@H](O2)C[C@@H]([C@]4([C@H](O3)C[C@]5([C@H](O4)CC[C@H]6[C@](O5)(CC[C@@](O6)(CO)O)C)C)C)O)O[C@H]7C[C@@H]8[C@]([C@@H](C[C@@H]9[C@@H](O8)C/C=C\C[C@@H]2[C@@H](O9)/C=C\C[C@@H]3[C@@H](O2)C=C[C@@H]2[C@@H](O3)C[C@@H]3[C@@H](O2)C[C@@H
Carmoisine,as such,Carmoisine,3567-69-9,222-657-4,C20H12N2Na2O7S2,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N/N=C/3\C=C(C4=CC=CC=C4C3=O)S(=O)(=O)[O-].[Na+].[Na+]
Carnauba wax,as such,Carnauba wax,8015-86-9,232-399-4,,
Carrageenan,as such,Carrageenan,9000-07-1,232-524-2,,
Carvacrol,as such,Carvacrol,499-75-2,207-889-6,C10H14O,CC1=C(C=C(C=C1)C(C)C)O
Carvacryl acetate,as such,Carvacryl acetate,6380-28-5,228-963-4,C12H16O2,CC(C)c1ccc(C)c(OC(=O)C)c1
Carvacryl ethyl ether,as such,Carvacryl ethyl ether,4732-13-2,225-238-4,C12H18O,CCOc1cc(ccc1C)C(C)C
Carvacryl methyl ether,as such,Carvacryl methyl ether,6379-73-3,228-959-2,C11H16O,COc1cc(ccc1C)C(C)C
Carveol,as such,Carveol,99-48-9,202-757-4,C10H16O,OC(C(=CCC1C(=C)C)C)C1
"Carvone-5,6-oxide",as such,"Carvone-5,6-oxide",33204-74-9,251-405-6,C10H14O2,CC(=C)C1CC2C(O2)(C(=O)C1)C
Carvyl acetate,as such,Carvyl acetate,97-42-7,202-580-2,C12H18O2,O=C(OC(C(=CCC1C(=C)C)C)C1)C
